SMILES,ACE
BrCC1CN=C(Nc2ccccn2)S1,0
Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,1
Brc1ccc(CN2CCN(c3nccc(NCc4ccccc4)n3)CC2)cc1,0
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,1
Brc1ccc(Oc2ccccc2)cc1,0
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,1
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,1
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0
C#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O,0
C#CC(C)C(C)OC[n+]1ccn(C)c1/C=N/O,0
C#CC(C)NC1CCc2ccc(SC(=O)N(C)C)cc21,1
C#CC(C)NCCc1cccc(OC(=O)N(C)C)c1,1
C#CC(C)NCCc1cccc(OC(=O)N(C)CC)c1,0
C#CC(C)OC[n+]1ccn(C)c1/C=N/O,0
C#CC(CC)OC[n+]1ccn(C)c1/C=N/O,1
C#CC(CCC)OC[n+]1ccn(C)c1/C=N/O,1
C#CC(O)C(CC)CCCC,0
C#CC1(OC[n+]2ccn(C)c2/C=N/O)CCCC1,0
C#CC1CCCCC1OC[n+]1ccn(C)c1/C=N/O,0
C#CCC(C)OC[n+]1ccn(C)c1/C=N/O,1
C#CCC(CCC)OC[n+]1ccn(C)c1/C=N/O,1
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C#CCC1CCCc2ccc(OC(=O)N(C)C)cc21,1
C#CCC1CCCc2ccc(OC(=O)N(C)CC)cc21,0
C#CCCCCCCN1CCc2cc(OC)c(OC)cc2C1c1ccc([N+](=O)[O-])cc1,1
C#CCCCCCCN1CCc2cc(OC)c(OC)cc2C1c1cccc([N+](=O)[O-])c1,1
C#CCCCC[n+]1ccc(/C=N/O)cc1,0
C#CCCCC[n+]1ccccc1/C=N/O,0
C#CCCCC[n+]1ccn(C(C)(C)C)c1/C=N/O,0
C#CCCCC[n+]1ccn(C)c1/C=N/O,1
C#CCCCC[n+]1ccn(COC)c1/C=N/O,0
C#CCCCC[n+]1cn(C)c(/C=N/O)n1,0
C#CCCCOC[n+]1ccn(C)c1/C=N/O,0
C#CCCOC[n+]1ccc(/C=N/O)cc1,0
C#CCCOC[n+]1ccn(C(C)(C)C)c1/C=N/O,0
C#CCCOC[n+]1ccn(C)c1/C=N/O,0
C#CCCOC[n+]1ccn(C)c1C,0
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)C)c1,1
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1,1
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CC)c1,0
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCC)c1,0
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,1
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,0
C#CCN(C)C1CCc2ccc(OC(=O)N(C)C)cc21,0
C#CCN(C)C1CCc2ccc(OC(=O)N(C)CCC)cc21,0
C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21,1
C#CCN(C)C1CCc2cccc(OC(=O)N(C)CC)c21,0
C#CCN(C)C1CCc2cccc(OC(=O)N(C)CCC)c21,0
C#CCN(C)CCc1cccc(OC(=O)N(C)C)c1,1
C#CCN(C)CCc1cccc(OC(=O)N(C)CC)c1,0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC(=O)N(C)C)c5ncccc45)CC3)ccc2n1C,1
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,1
C#CCN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,0
C#CCN(C)Cc1ccc(OC(=O)N(C)C)c2ncccc12,1
C#CCN(C)[C@@H](C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1,1
C#CCN(C)[C@@H](C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,1
C#CCN(C)[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,0
