"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"CC(=O)/C(C)=C/C1C(C)=CCCC1(C)C",0,,
"CC(=O)CC(C)(C)O",0,,
"CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O",0,,
"CC(=O)N1CCC(=NNc2nc3ccccc3s2)CC1",0,50118.7,"Potency"
"CC(=O)N1CCC(C(=O)Nc2nc3cc(C4(O)c5ccccc5C(=O)N4c4cccc(Cl)c4F)ccc3[nH]2)CC1",1,100.0,"IC50"
"CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1",0,,
"CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O",0,,
"CC(=O)Nc1ccc(-c2ccc3ncnc(Nc4cccc5[nH]ncc45)c3c2)cc1",1,935.0,"IC50, IC50"
"CC(=O)Nc1ccc(O)cc1",0,,
"CC(=O)Nc1cccc(Cc2c(C)c3cc(Cl)c(OC(=O)N(C)C)cc3oc2=O)c1",1,170.0,"IC50"
"CC(=O)Nc1cccc2c(Oc3cncc(Nc4cccc(-c5cnco5)c4)n3)cccc12",1,6960.0,"IC50"
"CC(=O)Nc1nc2ccc(CCNC(=O)Nc3cc(C(F)(F)F)c(Cl)cc3OCCN)cc2[nH]1",1,180.0,"IC50"
"CC(=O)Nc1nc2ccc(CCNC(=O)Nc3cc(C(F)(F)F)ccc3OCC3CCCN3)cc2[nH]1",1,230.0,"IC50"
"CC(=O)Nc1nc2ccc(CCNC(=O)Nc3cc(C(F)(F)F)ccc3OCCN)cc2[nH]1",1,250.0,"IC50"
"CC(=O)Nc1nc2ccc(CCNC(=O)Nc3cc(C)c(Cl)cc3OCCN)cc2[nH]1",1,550.0,"IC50"
"CC(=O)Nc1nc2ccc(CCNC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2[nH]1",1,140.0,"IC50"
"CC(=O)Nc1nc2ccc(CCNC(=O)Nc3cccc(C(F)(F)F)c3)cc2[nH]1",1,480.0,"IC50"
"CC(=O)O",0,,
"CC(=O)OC/C=C(\C)CCC=C(C)C",0,,
"CC(=O)OC1CC(C)OC(C)O1",0,,
"CC(=O)OCC(COC(C)=O)OC(C)=O",0,,
"CC(=O)OCCC(C)C",0,,
"CC(=O)OCCOCCOCCOC(C)=O",0,,
"CC(=O)OC[C@H]1O[C@H](O[C@]2(COC(C)=O)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O",0,,
"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C",0,,
"CC(=O)O[Hg]c1ccccc1",0,,
"CC(=O)Oc1ccccc1C(=O)O",0,,
"CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21",0,,
"CC(=O)S[C@H](C(=O)N[C@H]1Cc2ccccc2[C@H]2CCC[C@@H](C(=O)O)N2C1=O)C(C)C",0,,
"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C",0,,
"CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",0,,
"CC(=O)c1ccc(Nc2nccc3c(N=C(O)c4csc5c(=N)[nH]cnc45)c(C)ccc23)cc1",1,7.0,"IC50"
"CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)cc1)[C@@H](O)C(C)(C)O2",0,,
"CC(=O)c1cccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)c1",1,820.0,"IC50"
"CC(C)(C#N)c1cc(C(O)=Nc2cnc(O)c(-c3ccnc(N4CCOCC4)c3)c2)ccn1",1,1925.37,"IC50"
"CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1",0,,
"CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1",0,,
"CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1",0,,
"CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1",0,,
"CC(C)(C)CC(C)(C)c1ccc(O)cc1",0,,
"CC(C)(C)OC(=O)N1CCC(COC(=O)Nc2nc3cc(C4(O)c5ccccc5C(=O)N4Cc4ccccc4)ccc3[nH]2)CC1",1,100.0,"IC50"
"CC(C)(C)OOC(=O)c1ccccc1",0,,
"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O",1,8900.0,"IC50"
"CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O",0,,
"CC(C)(C)c1cc(NC(=O)Nc2ccc(C(O)c3ccncc3)cc2)no1",1,1500.0,"IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Cc3ccncc3)cc2)no1",1,590.0,"IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccc(C(=O)O)cc3)cc2)no1",1,5350.0,"IC50, IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3cccc(C(=O)Nc4ccccc4)c3)cc2)no1",1,370.0,"IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3cccc(C(=O)Nc4cccnc4)c3)cc2)no1",1,68.0,"IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccccc3)c(C(F)(F)F)c2)no1",1,9500.0,"IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)no1",1,913.3333333333333,"IC50, IC50, IC50"
"CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1",1,229.99999999999997,"IC50, IC50, IC50"
"CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CC(N)=O)c2)n1",1,11.0,"IC50"
"CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1",1,198.0,"IC50"
"CC(C)(C)c1cc(NC(=O)c2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1",1,126.0,"IC50"
"CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O",0,,
"CC(C)(C)c1cc(O)ccc1O",0,,
"CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1",0,,
"CC(C)(C)c1ccc(O)c(C(C)(C)C)c1",0,,
"CC(C)(C)c1ccc(O)cc1",0,,
"CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(F)c(C(=O)c3c[nH]c4ncncc34)c2F)cc1",1,10000.0,"IC50"
"CC(C)(C)c1cccc(C(C)(C)C)c1O",0,,
"CC(C)(C)c1cccc(Nc2nc3cc(Oc4ccnc(C(N)=O)c4)ccc3s2)c1",1,1.0,"IC50"
"CC(C)(C)c1ccccc1",0,,
"CC(C)(C)c1ccccc1O",0,,
"CC(C)(C)c1csc(-c2cc3cc(OCc4ccccc4CC(=O)O)ccc3o2)n1",0,,
"CC(C)(C)c1nnc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)o1",1,6300.0,"IC50"
"CC(C)(C)c1nnc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)s1",1,8600.0,"IC50"
"CC(C)(N)c1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1",1,31.25,"IC50, IC50"
"CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1",0,,
"CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc(F)cc2)cc1",0,,
"CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc3nonc3c2)cc1",0,,
"CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4c(F)cccc4C#N)c3)cnc2n1",0,,
"CC(C)(OO)c1ccccc1",0,,
"CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1",0,,
"CC(C)(c1ccc(O)cc1)c1ccc(O)cc1",0,,
"CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1",0,,
"CC(C)(c1ccccc1)c1ccc(O)cc1",0,,
"CC(C)=CCC/C(C)=C\CO",0,,
"CC(C)=CCCC(C)=CC=O",0,,
"CC(C)=CCCC(C)CCO",0,,
"CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1",0,,
"CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C",0,,
"CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O",0,,
"CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O",0,,
"CC(C)CC(C)(O)C#CC(C)(O)CC(C)C",0,,
"CC(C)CC(C)O",0,,
"CC(C)CCO",0,,
"CC(C)COC(=O)CCCCC(=O)OCC(C)C",0,,
"CC(C)COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1",1,100.0,"IC50"
"CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C",0,,
"CC(C)CS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncncc23)c1F",1,10000.0,"IC50"
