"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"C=CC(O)=Nc1cc(CO)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,2190.0,"IC50"
"C=CC(O)=Nc1cc(N(C)CCO)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,2152.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(C(C)C)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,197.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(C)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,115.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,286.3333333333333,"IC50, IC50, IC50"
"C=CC(O)=Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(F)c(OC)cc(OC)c2Cl)ncn1",1,105.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(F)c(OC)cc(OC)c2F)ncn1",1,155.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(CCN)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,2694.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(CCO)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,1030.0,"IC50"
"C=CC(O)=Nc1cc(N2CCN(S(C)(=O)=O)CC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,2860.0,"IC50"
"C=CC(O)=Nc1cc(N2CCNCC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,131.0,"IC50"
"C=CC(O)=Nc1cc(N2CCOCC2)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,3890.0,"IC50"
"C=CC(O)=Nc1cc(OCCO)ccc1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,3510.0,"IC50"
"C=CC(O)=Nc1cccc(C)c1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,7370.0,"IC50"
"C=CC(O)=Nc1ccccc1Nc1cc(N(CCCN(C)C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,1190.0,"IC50"
